Player_ID,MP,Starts,Min,Min/90,Goals,Shots,SoT,SoT%
1758,10,3,304,3.4,0,0.59,0.29,50
1759,14,12,1092,12.1,1,0.5,0.17,33.3
1760,11,5,507,5.6,0,0.54,0.18,33.3
1761,6,4,370,4.1,0,0.98,0,0
1762,5,1,148,1.6,0,1.88,0,0
1763,8,6,563,6.3,0,0.32,0.16,50
1764,14,1,314,3.5,0,3.43,1.43,41.7
1765,17,12,1071,11.9,0,0.42,0.17,40
1766,2,2,180,2,0,0,0,0
1767,7,3,245,2.7,0,0.74,0,0
1768,4,2,200,2.2,0,0.45,0,0
1769,8,3,320,3.6,0,1.94,0.56,28.6
1770,15,10,898,10,0,0.5,0.2,40
1771,19,6,545,6.1,0,2.13,0.16,7.7
1772,14,7,556,6.2,1,2.1,0.97,46.2
1773,2,0,65,0.7,2,4.29,4.29,100
1774,10,0,115,1.3,1,2.31,0.77,33.3
1775,12,12,1035,11.5,0,0,0,0
1776,8,8,599,6.7,0,1.64,0.3,18.2
1777,8,1,144,1.6,0,0,0,0
1778,12,12,1080,12,0,0.17,0.08,50
1779,9,6,529,5.9,0,1.53,0.34,22.2
1780,21,21,1890,21,5,1.9,0.38,20
1781,19,17,1495,16.6,12,2.05,1.02,50
1782,4,0,147,1.6,0,3.13,1.25,40
1783,2,1,85,0.9,1,6.67,3.33,50
1784,2,2,160,1.8,0,1.67,1.11,66.7
1785,1,1,70,0.8,0,2.5,2.5,100
1786,17,13,1037,11.5,3,1.91,0.43,22.7
1787,13,11,910,10.1,1,0.4,0.1,25
1788,21,21,1825,20.3,0,0.39,0.15,37.5
1789,5,4,385,4.3,1,0.47,0.23,50
1790,14,10,910,10.1,4,2.77,1.49,53.6
1791,2,1,97,1.1,0,4.55,0.91,20
1792,16,6,536,6,1,1.67,0.83,50
1793,20,19,1689,18.8,0,0.32,0,0
1794,1,0,12,0.1,0,0,0,0
1795,14,13,1133,12.6,0,0.56,0.08,14.3
1796,1,0,22,0.2,0,0,0,0
